1: 4.0858975   H[1]= 4.0858975
2: 3.3925708   H[2]= 7.4784682
3: 2.9629116   H[3]= 10.4413799
4: 2.4408149   H[4]= 12.8821948
5: 1.9893618   H[5]= 14.8715566
6: 1.5525126   H[6]= 16.4240691
7: 1.2722888   H[7]= 17.6963579
8: 0.6722439   H[8]= 18.3686018
9: 0.5123079   H[9]= 18.8809097
10: 0.3040848   H[10]= 19.1849945
11: 0.2260161   H[11]= 19.4110107
12: 0.0947216   H[12]= 19.5057323
13: 0.0285354   H[13]= 19.5342677
14: -0.0846044   H[14]= 19.4496633
15: -0.0956743   H[15]= 19.3539890
16: 0.1424194   H[16]= 19.4964083
17: -0.0629889   H[17]= 19.4334194
18: 0.1214421   H[18]= 19.5548615
19: -0.2434397   H[19]= 19.3114218
20: -0.3064792   H[20]= 19.0049426
21: 0.3031636   H[21]= 19.3081062
22: -0.3201996   H[22]= 18.9879066
23: 0.4263791   H[23]= 19.4142857
24: 0.0282283   H[24]= 19.4425140
25: -0.4600347   H[25]= 18.9824793
26: 0.3754660   H[26]= 19.3579453
27: -0.3938090   H[27]= 18.9641363
28: 0.1692222   H[28]= 19.1333585
29: -0.3315862   H[29]= 18.8017723
30: -0.1889311   H[30]= 18.6128412
